Date,META,MSFT,NVDA,TSLA
2025-02-14,734.3543090820312,405.43914794921875,138.81204223632812,355.8399963378906
2025-02-18,714.1181030273438,406.64031982421875,139.3618927001953,354.1099853515625
2025-02-19,701.5578002929688,411.73272705078125,139.19192504882812,360.55999755859375
2025-02-20,692.6558837890625,413.91107177734375,140.07168579101562,354.3999938964844
2025-02-21,681.4013671875,406.03326416015625,134.3932342529297,337.79998779296875
2025-02-24,666.02978515625,401.8457336425781,130.244384765625,330.5299987792969
2025-02-25,655.4331665039062,395.7782287597656,126.59537506103516,302.79998779296875
2025-02-26,671.5823364257812,397.5985107421875,131.24411010742188,290.79998779296875
2025-02-27,656.1707763671875,390.4369201660156,120.11714935302734,281.95001220703125
2025-02-28,666.099609375,394.87310791015625,124.8858413696289,292.9800109863281
2025-03-03,652.9909057617188,386.4184265136719,114.02880859375,284.6499938964844
2025-03-04,637.9882202148438,386.53778076171875,115.95828247070312,272.0400085449219
2025-03-05,654.4063720703125,398.8816223144531,117.26792907714844,279.1000061035156
2025-03-06,625.9561767578125,394.773681640625,110.53976440429688,263.45001220703125
2025-03-07,623.6932373046875,391.2127380371094,112.65918731689453,262.6700134277344
2025-03-10,596.1102294921875,378.13287353515625,106.95074462890625,222.14999389648438
2025-03-11,603.8060302734375,378.42132568359375,108.73026275634766,230.5800018310547
2025-03-12,617.6124267578125,381.2262878417969,115.71900177001953,248.08999633789062
2025-03-13,588.7833862304688,376.750244140625,115.55902862548828,240.67999267578125
2025-03-14,606.2288818359375,386.4880676269531,121.64791870117188,249.97999572753906
2025-03-17,603.5350341796875,386.6273193359375,119.50830841064453,238.00999450683594
2025-03-18,581.0458984375,381.47491455078125,115.40904998779297,225.30999755859375
2025-03-19,582.7420654296875,385.7520446777344,117.49866485595703,235.86000061035156
2025-03-20,584.6776123046875,384.7772216796875,118.50848388671875,236.25999450683594
2025-03-21,594.9044799804688,389.1736755371094,117.67863464355469,248.7100067138672
2025-03-24,617.4534912109375,390.98394775390625,121.38796997070312,278.3900146484375
2025-03-25,624.896728515625,393.0528869628906,120.66809844970703,288.1400146484375
2025-03-26,609.6012573242188,387.89056396484375,113.7393569946289,272.05999755859375
2025-03-27,601.2203369140625,388.4972839355469,111.40977478027344,273.1300048828125
2025-03-28,575.4385986328125,376.78009033203125,109.65009307861328,263.54998779296875
