Date,META,MSFT,NVDA,TSLA
2025-09-04,11439100,15509500,141670100,60711000
2025-09-05,9663400,31994800,224441400,108989800
2025-09-08,13087800,16771000,163769100,75208300
2025-09-09,10999000,14410500,157548400,53816000
2025-09-10,12478300,21611800,226852000,72121700
2025-09-11,7923300,18881600,151159300,103756000
2025-09-12,8248600,23624900,124911000,168156400
2025-09-15,10533800,17143800,147061600,163823700
2025-09-16,11782500,19711900,140737800,104285700
2025-09-17,9400900,15816600,211843800,106133500
2025-09-18,10955000,18913700,191763300,90454500
2025-09-19,23696800,52474100,237182100,93131000
2025-09-22,11706900,20009300,269637000,97108800
2025-09-23,10872600,19799600,192559600,83422700
2025-09-24,8828200,13533700,143564100,93133600
2025-09-25,10591100,15786500,191586700,96746400
2025-09-26,9696300,16213100,148573700,101628200
2025-09-29,9246800,17617800,193063500,79491500
2025-09-30,16226800,19728200,236981000,74358000
2025-10-01,20419600,22632300,173844900,98122300
2025-10-02,11415300,21222900,136805800,137009000
2025-10-03,16154300,15112300,137596900,133188200
2025-10-06,21654700,21388600,157678100,85324900
2025-10-07,12062900,14615200,140088000,102296100
2025-10-08,10790600,13363400,130168900,71192100
2025-10-09,12717200,18343600,182997200,69339900
2025-10-10,16980100,24133800,268774400,112107900
2025-10-13,9251800,14284200,153482800,79552800
2025-10-14,8829800,14684300,205641400,72669400
2025-10-15,10246800,14694700,214450500,71558200
2025-10-16,9017000,15559600,179723300,77189900
2025-10-17,12232400,19867800,173135200,89331600
2025-10-20,8900200,14665600,128544700,63719000
2025-10-21,7647300,15586200,124240200,54412200
2025-10-22,8734500,18962700,162249600,84023500
2025-10-23,9856000,14023500,111363700,126709800
2025-10-24,9151300,15532400,131296700,94727800
2025-10-27,11321100,18734700,153452700,105867500
2025-10-28,12193800,29986700,297986200,80185700
2025-10-29,26818600,36023000,308829600,67983500
2025-10-30,88440100,41023100,178864400,72447900
2025-10-31,56953200,34006400,179802200,83135800
2025-11-03,33003600,22374700,180267300,84595200
2025-11-04,27356600,20958700,188919300,87756600
2025-11-05,20219900,23024300,171350300,85573000
2025-11-06,23628800,27406500,223029800,109622900
2025-11-07,29946800,24019800,264942300,103471500
2025-11-10,19245000,26101500,198897100,76515900
2025-11-11,13302200,17980000,176483300,60533200
2025-11-12,24493300,26574900,154935300,58513500
2025-11-13,20973800,25273100,207423100,118948000
2025-11-14,20724100,28505700,186591900,105506700
